datetime,true,predicted,residual,abs_error
2024-06-14 15:15:00+00:00,39540.766,39712.91502705022,-172.14902705021814,172.14902705021814
2024-06-14 15:30:00+00:00,39503.378,39664.57606488877,-161.19806488877657,161.19806488877657
2024-06-14 15:45:00+00:00,39431.339,39569.039475658756,-137.70047565875575,137.70047565875575
2024-06-14 16:00:00+00:00,39157.733,38476.15672616316,681.576273836843,681.576273836843
2024-06-14 16:15:00+00:00,40308.188,38476.15672616316,1832.0312738368448,1832.0312738368448
2024-06-14 16:30:00+00:00,39847.4,38509.870936636704,1337.5290633632976,1337.5290633632976
2024-06-14 16:45:00+00:00,39332.482,38579.07145480684,753.4105451931609,753.4105451931609
2024-06-14 17:00:00+00:00,39432.625,36832.923380857326,2599.7016191426737,2599.7016191426737
2024-06-14 17:15:00+00:00,39266.391,36735.51241907506,2530.8785809249457,2530.8785809249457
2024-06-14 17:30:00+00:00,39042.719,36282.728787454434,2759.990212545563,2759.990212545563
2024-06-14 17:45:00+00:00,38518.248,36392.16659186352,2126.0814081364806,2126.0814081364806
2024-06-14 18:00:00+00:00,37764.081,35030.341411495545,2733.7395885044534,2733.7395885044534
2024-06-14 18:15:00+00:00,37251.466,34711.44016987704,2540.0258301229624,2540.0258301229624
2024-06-14 18:30:00+00:00,36239.388,34392.33341980275,1847.0545801972476,1847.0545801972476
2024-06-14 18:45:00+00:00,35831.687,34282.05240087728,1549.6345991227208,1549.6345991227208
2024-06-14 19:00:00+00:00,35736.761,33339.40694476696,2397.354055233038,2397.354055233038
2024-06-14 19:15:00+00:00,35296.495,32879.85281744445,2416.6421825555517,2416.6421825555517
2024-06-14 19:30:00+00:00,34773.602,33005.973689711296,1767.6283102887028,1767.6283102887028
2024-06-14 19:45:00+00:00,34408.839,32579.59389857519,1829.2451014248109,1829.2451014248109
2024-06-14 20:00:00+00:00,33840.426,30762.607385671046,3077.818614328953,3077.818614328953
2024-06-14 20:15:00+00:00,33226.798,30412.850891170376,2813.947108829627,2813.947108829627
2024-06-14 20:30:00+00:00,33295.946,30379.473916764386,2916.472083235618,2916.472083235618
2024-06-14 20:45:00+00:00,32766.91,29906.94200945142,2859.967990548579,2859.967990548579
2024-06-14 21:00:00+00:00,31811.785,29328.218445625036,2483.5665543749637,2483.5665543749637
2024-06-14 21:15:00+00:00,30920.445,28667.864100423867,2252.5808995761327,2252.5808995761327
2024-06-14 21:30:00+00:00,30228.874,28151.99163174681,2076.882368253191,2076.882368253191
2024-06-14 21:45:00+00:00,29667.273,27841.553984863807,1825.7190151361938,1825.7190151361938
2024-06-14 22:00:00+00:00,29218.086,27894.147229208185,1323.938770791814,1323.938770791814
2024-06-14 22:15:00+00:00,28433.408,27371.09240748735,1062.3155925126484,1062.3155925126484
2024-06-14 22:30:00+00:00,28048.716,26963.033657806234,1085.682342193766,1085.682342193766
2024-06-14 22:45:00+00:00,27661.667,26534.36097866918,1127.30602133082,1127.30602133082
2024-06-14 23:00:00+00:00,27712.916,26099.58115238126,1613.334847618742,1613.334847618742
2024-06-14 23:15:00+00:00,28661.976,26997.274835774697,1664.701164225302,1664.701164225302
2024-06-14 23:30:00+00:00,28504.277,26952.5093496157,1551.7676503842995,1551.7676503842995
2024-06-14 23:45:00+00:00,27602.979,26593.49905196813,1009.4799480318688,1009.4799480318688
2024-06-15 00:00:00+00:00,26893.665,25889.278579964495,1004.3864200355056,1004.3864200355056
2024-06-15 00:15:00+00:00,26580.396,25560.768919137365,1019.6270808626359,1019.6270808626359
2024-06-15 00:30:00+00:00,26211.821,25259.035162708606,952.7858372913943,952.7858372913943
2024-06-15 00:45:00+00:00,25726.618,25173.649804557048,552.9681954429507,552.9681954429507
2024-06-15 01:00:00+00:00,25579.268,25448.08896600401,131.17903399599163,131.17903399599163
2024-06-15 01:15:00+00:00,25805.774,25386.90469487524,418.869305124761,418.869305124761
2024-06-15 01:30:00+00:00,25609.719,25354.249529283436,255.4694707165654,255.4694707165654
2024-06-15 01:45:00+00:00,25540.614,25386.90469487524,153.70930512476116,153.70930512476116
2024-06-15 02:00:00+00:00,25550.214,26135.871907397846,-585.6579073978464,585.6579073978464
2024-06-15 02:15:00+00:00,25756.11,26249.128268043503,-493.01826804350276,493.01826804350276
2024-06-15 02:30:00+00:00,25714.418,26357.90604127927,-643.48804127927,643.48804127927
2024-06-15 02:45:00+00:00,26009.516,26706.70948859262,-697.1934885926203,697.1934885926203
2024-06-15 03:00:00+00:00,26224.517,28220.51295216168,-1995.9959521616802,1995.9959521616802
2024-06-15 03:15:00+00:00,26344.162,28528.582499016375,-2184.4204990163744,2184.4204990163744
2024-06-15 03:30:00+00:00,26786.276,28562.614035452687,-1776.3380354526853,1776.3380354526853
2024-06-15 03:45:00+00:00,26700.926,29375.63755741694,-2674.71155741694,2674.71155741694
2024-06-15 04:00:00+00:00,27301.023,30231.379368924354,-2930.356368924353,2930.356368924353
2024-06-15 04:15:00+00:00,27459.624,30530.28519857078,-3070.6611985707787,3070.6611985707787
2024-06-15 04:30:00+00:00,28200.391,32014.67636457811,-3814.2853645781106,3814.2853645781106
2024-06-15 04:45:00+00:00,28339.49,32298.113283354203,-3958.6232833542017,3958.6232833542017
2024-06-15 05:00:00+00:00,29002.766,33485.12065226489,-4482.354652264894,4482.354652264894
2024-06-15 05:15:00+00:00,29444.792,33854.76732322355,-4409.975323223545,4409.975323223545
