datetime,predicted_consumption,day,hour,weekday,confidence_interval,lower_bound,upper_bound
2025-10-05 14:00:00+00:00,34440.80837425025,2025-10-05,14,Sunday,2601.2676319479237,31839.540742302324,37042.07600619817
2025-10-05 14:15:00+00:00,34440.80837425025,2025-10-05,14,Sunday,2602.038422083117,31838.76995216713,37042.84679633337
2025-10-05 14:30:00+00:00,34440.80837425025,2025-10-05,14,Sunday,2602.8085053951813,31837.99986885507,37043.61687964543
2025-10-05 14:45:00+00:00,34440.80837425025,2025-10-05,14,Sunday,2603.577883825053,31837.230490425198,37044.386258075305
2025-10-05 15:00:00+00:00,34440.80837425025,2025-10-05,15,Sunday,2604.346559304799,31836.46181494545,37045.15493355505
2025-10-05 15:15:00+00:00,34440.80837425025,2025-10-05,15,Sunday,2605.114533757678,31835.69384049257,37045.922908007924
2025-10-05 15:30:00+00:00,34440.80837425025,2025-10-05,15,Sunday,2605.8818090981954,31834.926565152055,37046.690183348444
2025-10-05 15:45:00+00:00,34440.80837425025,2025-10-05,15,Sunday,2606.648387232155,31834.159987018094,37047.456761482405
2025-10-05 16:00:00+00:00,36336.8199644866,2025-10-05,16,Sunday,2607.4142700567204,33729.405694429886,38944.23423454332
2025-10-05 16:15:00+00:00,36336.8199644866,2025-10-05,16,Sunday,2608.179459460466,33728.64050502614,38944.99942394707
2025-10-05 16:30:00+00:00,36336.8199644866,2025-10-05,16,Sunday,2608.943957323432,33727.87600716317,38945.76392181004
2025-10-05 16:45:00+00:00,36336.8199644866,2025-10-05,16,Sunday,2609.707765517179,33727.11219896942,38946.527730003785
2025-10-05 17:00:00+00:00,36031.623447476115,2025-10-05,17,Sunday,2610.470885904839,33421.152561571274,38642.094333380956
2025-10-05 17:15:00+00:00,36031.623447476115,2025-10-05,17,Sunday,2611.2333203411736,33420.39012713494,38642.85676781729
2025-10-05 17:30:00+00:00,36031.623447476115,2025-10-05,17,Sunday,2611.9950706726213,33419.62837680349,38643.61851814874
2025-10-05 17:45:00+00:00,36031.623447476115,2025-10-05,17,Sunday,2612.7561387373507,33418.867308738765,38644.379586213465
2025-10-05 18:00:00+00:00,34041.82845345499,2025-10-05,18,Sunday,2613.516526365316,31428.31192708967,36655.34497982031
2025-10-05 18:15:00+00:00,34041.82845345499,2025-10-05,18,Sunday,2614.276235378303,31427.552218076686,36656.10468883329
2025-10-05 18:30:00+00:00,34041.82845345499,2025-10-05,18,Sunday,2615.0352675899853,31426.793185865004,36656.863721044974
2025-10-05 18:45:00+00:00,34041.82845345499,2025-10-05,18,Sunday,2615.79362480597,31426.03482864902,36657.62207826096
2025-10-05 19:00:00+00:00,31789.988045992366,2025-10-05,19,Sunday,2616.55130882385,29173.436737168515,34406.53935481622
